Site	Street Number	Prefix	Street Name	Suffix	Site City	Site State	Site Zip5	Initial Meter Set Date
878212380	133	W	6	ST	TEMPE	ARIZONA	85281	9/12/2011 12:00:00 AM
878232387	13050	W	THUNDERBIRD	RD	EL MIRAGE	ARIZONA	85335	10/27/2011 12:00:00 AM
878252387	4081	 	FOREST SERVICE ROAD 648	 	MORMON LAKE	ARIZONA	86038	12/28/2011 12:00:00 AM
878412388	2653	N	PRINCETON	DR	FLORENCE	ARIZONA	85132	10/7/2011 12:00:00 AM
878522385	6114	E	ORCHID	LN	PARADISE VALLEY	ARIZONA	85253	9/6/2011 12:00:00 AM
878609286	23832	W	CORONA	AVE	BUCKEYE	ARIZONA	85326	2/20/2012 12:00:00 AM
878642383	690	W	SCHOOL BUS	LN	SNOWFLAKE	ARIZONA	85937	10/20/2011 12:00:00 AM
878656282	16409	W	ALVARADO	DR	GOODYEAR	ARIZONA	85395	10/28/2011 12:00:00 AM
878697283	357	E	BAHAMAS	DR	CASA GRANDE	ARIZONA	85122	1/13/2011 12:00:00 AM
878832380	20435	N	7	ST	PHOENIX	ARIZONA	85024	4/10/2012 12:00:00 AM
878838285	14816	W	LUNA	DR	LITCHFIELD PARK	ARIZONA	85340	10/3/2011 12:00:00 AM
878851381	997	E	PINE KNOLL	DR	FLAGSTAFF	ARIZONA	86001	12/7/2010 12:00:00 AM
878851388	567	E	DREYER	DR	TONTO BASIN	ARIZONA	85553	1/11/2011 12:00:00 AM
878907289	11808	W	DONALD	DR	SUN CITY	ARIZONA	85373	2/24/2012 12:00:00 AM
878922384	1501	NW	GRAND	AVE	PHOENIX	ARIZONA	85007	10/13/2011 12:00:00 AM
879041384	4848	E	CACTUS	RD	SCOTTSDALE	ARIZONA	85254	12/17/2010 12:00:00 AM
879181380	938	 	TOVERYVILLE	RD	BISBEE	ARIZONA	85603	3/31/2011 12:00:00 AM
879309289	23661	W	SONRISAS	ST	BUCKEYE	ARIZONA	85326	3/7/2012 12:00:00 AM
879337282	18660	W	CAROL	AVE	WADDELL	ARIZONA	85355	5/13/2011 12:00:00 AM
879561384	16345	W	MONTEREY	WAY	GOODYEAR	ARIZONA	85395	10/20/2011 12:00:00 AM
879562381	615	E	WEBER	DR	TEMPE	ARIZONA	85281	3/13/2012 12:00:00 AM
879677289	9211	W	ALYSSA	LN	PEORIA	ARIZONA	85383	12/9/2010 12:00:00 AM
879738286	9842	E	SOUTH BEND	DR	SCOTTSDALE	ARIZONA	85255	8/10/2011 12:00:00 AM
879911387	17050	S	178	AVE	GOODYEAR	ARIZONA	85338	10/25/2011 12:00:00 AM
880079285	17019	W	GREENWAY	RD	SURPRISE	ARIZONA	85388	9/20/2011 12:00:00 AM
880232386	140	 	SEDONA	ST	SEDONA	ARIZONA	86351	10/27/2011 12:00:00 AM
880491387	1611	W	MARICOPA	ST	PHOENIX	ARIZONA	85007	8/30/2011 12:00:00 AM
880508289	26763	W	YUKON	DR	BUCKEYE	ARIZONA	85396	8/25/2011 12:00:00 AM
880817288	3119	N	EVERGREEN	ST	BUCKEYE	ARIZONA	85396	10/14/2011 12:00:00 AM
880841389	40114	 	RIGGS	LN	SALOME	ARIZONA	85348	12/16/2010 12:00:00 AM
880901384	10837	E	WINDGATE PASS	DR	SCOTTSDALE	ARIZONA	85255	12/14/2011 12:00:00 AM
881048287	14811	S	LUNA	DR	LITCHFIELD PARK	ARIZONA	85340	11/22/2011 12:00:00 AM
881151384	3400	S	KOFA	DR	FLAGSTAFF	ARIZONA	86001	11/24/2010 12:00:00 AM
881179289	20025	N	20	ST	PHOENIX	ARIZONA	85024	2/29/2012 12:00:00 AM
881186283	17046	N	184	LN	SURPRISE	ARIZONA	85374	7/25/2011 12:00:00 AM
881291385	17815	 	PW LITTLE HOPI	TRL	MUNDS PARK	ARIZONA	86017	10/24/2011 12:00:00 AM
881351381	9938	W	SUGAR SAND	LN	PEORIA	ARIZONA	85383	5/20/2011 12:00:00 AM
881374284	11322	S	AVENUE 12E	 	YUMA	ARIZONA	85367	3/8/2012 12:00:00 AM
881487282	7400	W	MILTON	DR	PEORIA	ARIZONA	85383	4/3/2012 12:00:00 AM
881491388	1613	W	MARICOPA	ST	PHOENIX	ARIZONA	85007	8/30/2011 12:00:00 AM
881581381	3845	N	VIEWPOINT	DR	PRESCOTT VALLEY	ARIZONA	86314	10/19/2011 12:00:00 AM
881602382	809	N	5	AVE	PHOENIX	ARIZONA	85003	10/3/2011 12:00:00 AM
881776285	17002	N	184	LN	SURPRISE	ARIZONA	85388	9/2/2011 12:00:00 AM
881832383	601	S	FARMER	AVE	TEMPE	ARIZONA	85281	11/4/2011 12:00:00 AM
881858288	13910	S	180	AVE	GOODYEAR	ARIZONA	85338	11/23/2011 12:00:00 AM
881942383	4081	 	FOREST SERVICE ROAD	 	MORMON LAKE	ARIZONA	86038	12/9/2011 12:00:00 AM
881961384	12775	N	175	AVE	SURPRISE	ARIZONA	85388	8/12/2011 12:00:00 AM
882028283	5513	E	35	ST	YUMA	ARIZONA	85365	1/30/2012 12:00:00 AM
882061385	10002	N	7	PL	PHOENIX	ARIZONA	85020	3/28/2011 12:00:00 AM
882091386	365	 	LKP ORCHID	 	WILLIAMS	ARIZONA	86046	4/21/2011 12:00:00 AM
882317286	2417	N	164	DR	GOODYEAR	ARIZONA	85395	2/21/2011 12:00:00 AM
882499283	400	N	MADRIGAL	DR	SAN LUIS	ARIZONA	85349	11/1/2010 12:00:00 AM
882742385	1702	E	RENTAL CAR	WAY	PHOENIX	ARIZONA	85034	12/2/2011 12:00:00 AM
882817288	14292	W	CORONADO	RD	GOODYEAR	ARIZONA	85395	9/21/2011 12:00:00 AM
882932381	20435	N	7	ST	PHOENIX	ARIZONA	85024	3/28/2012 12:00:00 AM
882932388	1216	W	CARRIAGE	RD	PHOENIX	ARIZONA	85086	1/18/2012 12:00:00 AM
883048281	14837	W	ALDEA	DR	LITCHFIELD PARK	ARIZONA	85340	3/28/2012 12:00:00 AM
883069282	3400	S	AVENUE 7E	 	YUMA	ARIZONA	85365	12/2/2010 12:00:00 AM
883107288	7706	E	SANTA CATALINA	DR	SCOTTSDALE	ARIZONA	85255	6/3/2011 12:00:00 AM
883132384	3341	N	GLASSFORD HILL	RD	PRESCOTT VALLEY	ARIZONA	86314	9/28/2011 12:00:00 AM
883217288	16452	W	WINDSOR	AVE	GOODYEAR	ARIZONA	85395	11/23/2010 12:00:00 AM
883232387	3330	E	VAN BUREN	ST	PHOENIX	ARIZONA	85008	11/18/2011 12:00:00 AM
883297282	7942	E	36	LN	YUMA	ARIZONA	85365	6/16/2011 12:00:00 AM
883421382	8550	E	BELL	RD	SCOTTSDALE	ARIZONA	85260	12/2/2011 12:00:00 AM
883460384	14702	N	100	ST	SCOTTSDALE	ARIZONA	85260	11/23/2011 12:00:00 AM
883481380	13850	N	FRANK LLOYD WRIGHT	BLVD	SCOTTSDALE	ARIZONA	85260	8/17/2011 12:00:00 AM
883487281	15052	W	GEORGIA	DR	SURPRISE	ARIZONA	85379	3/5/2012 12:00:00 AM
883781382	1617	W	MARICOPA	ST	PHOENIX	ARIZONA	85007	8/30/2011 12:00:00 AM
883881385	45625	S	OLD US HWY 80	 	GILA BEND	ARIZONA	85337	6/9/2011 12:00:00 AM
883932385	20435	N	7	ST	PHOENIX	ARIZONA	85024	3/21/2012 12:00:00 AM
884002382	2534B	 	HIDDEN OAKS	 	SHOW LOW	ARIZONA	85901	7/12/2011 12:00:00 AM
884130382	16726	W	CORONADO	RD	GOODYEAR	ARIZONA	85395	2/3/2011 12:00:00 AM
884161386	250	E	OWENS	 	SHOW LOW	ARIZONA	85901	1/7/2011 12:00:00 AM
884312385	133	W	6	ST	TEMPE	ARIZONA	85281	8/12/2011 12:00:00 AM
884331385	2116	N	34	AVE	PHOENIX	ARIZONA	85009	12/14/2010 12:00:00 AM
884402386	2107	 	CLEAR POINT	WAY	WILLIAMS	ARIZONA	86046	8/19/2011 12:00:00 AM
884522388	2700	 	MELVILLE	RD	PRESCOTT	ARIZONA	86305	10/20/2011 12:00:00 AM
884538287	5108	N	193	AVE	LITCHFIELD PARK	ARIZONA	85340	3/1/2012 12:00:00 AM
884601383	2189	W	COUNTY 17 1/4	ST	SOMERTON	ARIZONA	85350	7/13/2011 12:00:00 AM
884618280	5533	E	35	ST	YUMA	ARIZONA	85365	3/23/2011 12:00:00 AM
884662386	18075	S	STETSON RANCH	RD	YARNELL	ARIZONA	85362	3/2/2012 12:00:00 AM
884689289	2354	E	EDAIS	ST	SAN LUIS	ARIZONA	85349	12/29/2011 12:00:00 AM
884852380	3265	 	LIZARD HEAD	LN	SEDONA	ARIZONA	86336	1/19/2012 12:00:00 AM
885031389	7599	E	GRAYHAWK	DR	SCOTTSDALE	ARIZONA	85255	2/22/2012 12:00:00 AM
885269282	9669	E	MOUNTAIN PEAK	DR	SCOTTSDALE	ARIZONA	85255	12/21/2011 12:00:00 AM
885322384	2700	 	MELVILLE	RD	PRESCOTT	ARIZONA	86305	10/20/2011 12:00:00 AM
885352381	14875	W	LUNA	DR	LITCHFIELD PARK	ARIZONA	85340	3/2/2012 12:00:00 AM
885411384	1900	W	30	ST	YUMA	ARIZONA	85364	11/18/2010 12:00:00 AM
885497288	1954	S	170	AVE	GOODYEAR	ARIZONA	85338	1/25/2012 12:00:00 AM
885549285	27148	W	MOHAWK	LN	BUCKEYE	ARIZONA	85396	10/31/2011 12:00:00 AM
885620381	11867	N	79	DR	PEORIA	ARIZONA	85345	1/19/2011 12:00:00 AM
885641382	2230	N	200	AVE	BUCKEYE	ARIZONA	85396	11/18/2010 12:00:00 AM
885661389	3230	E	UNION HILLS	DR	PHOENIX	ARIZONA	85050	1/27/2011 12:00:00 AM
885851387	997	E	PINE KNOLL	DR	FLAGSTAFF	ARIZONA	86001	1/3/2011 12:00:00 AM
885961387	506	 	GC PAIUTE	CIR	GRAND CANYON	ARIZONA	86023	6/30/2011 12:00:00 AM
886309289	23824	W	CORONA	AVE	BUCKEYE	ARIZONA	85326	1/13/2012 12:00:00 AM
886379285	20025	N	20	ST	PHOENIX	ARIZONA	85024	2/29/2012 12:00:00 AM
886391385	1619	W	MARICOPA	ST	PHOENIX	ARIZONA	85007	8/30/2011 12:00:00 AM
886440387	19226	W	MONROE	ST	BUCKEYE	ARIZONA	85326	6/29/2011 12:00:00 AM
886509281	18311	W	OCOTILLO	AVE	GOODYEAR	ARIZONA	85338	12/17/2010 12:00:00 AM
886624285	1584	E	MELROSE	DR	CASA GRANDE	ARIZONA	85122	7/12/2011 12:00:00 AM
886702282	330	W	BELL	RD	PHOENIX	ARIZONA	85023	10/14/2011 12:00:00 AM
886760386	26121	W	VISTA NORTH	DR	BUCKEYE	ARIZONA	85396	9/30/2011 12:00:00 AM
