"BldrId"	"SubCode"	"Sub"	"Active"	"MstrPlan"	"SubLocation"	"SubLocCity"	"SubLocZip"	"LotsSigned"	"LotsPaid"	"ContractDate"	"ExpDate"	"AddendumDate"	"AddendumLots"	"AmmendedDate"	"AmmendedLots"	"Rater"	"SolarCommunity"	"Parcel"	"SubComment"
"CEN01"	"CENCRE"	"INACTIVE-Oasis at Canyon Trails - Crestview"	0		"Cotton Lane & Van Buren Street"	"Goodyear"	"85338"	64	21	11/15/06 0:00:00	12/31/07 0:00:00				0	"Energy Inspectors"	0		"CLOSED"
"CEN01"	"CENHAR"	"INACTIVE-Harmony at Desert Oasis"	0	"Desert Oasis"	"163 Avenue and Jomax"	"Surprise"		372	25	11/15/06 0:00:00	12/31/07 0:00:00				0	"Energy Inspectors"	0
"CEN01"	"CENHAR1"	"Harmony at Desert Oasis"	1	"Desert Oasis"	"163 Avenue and Jomax"	"Surprise"		29	14	1/1/08 0:00:00	1/1/10 0:00:00				0		0
"CEN01"	"CENHAV"	"Haven at Desert Oasis"	1	"Desert Oasis"	"163RD AVE & JOMAX"	"SURPRISE"	"85387"	53	40	1/1/08 0:00:00	1/1/10 0:00:00				0	"Energy Inspectors"	0
"CEN01"	"CENPAR"	"INACTIVE-Parkview Square at Verrado"	0	"Verrado"	"I-10 North to Verrado Way"	"Buckeye"	"85396"	136	3	11/15/06 0:00:00	12/31/07 0:00:00				0	"Energy Inspectors"	0
"CEN01"	"CENPAR1"	"Parkview Square at Verrado"	1	"Verrado"	"I-10 North to Verrado Way"	"Buckeye"	"85396"	49	53	1/1/08 0:00:00	1/1/10 0:00:00				0		0
"CEN01"	"CENPRE"	"INACTIVE-The Preserve at Cibola Vista"	0	"Cibola Vista"	"Lake Pleasant Pkwy & Cibola Vista Road"	"Peoria"	"85353"	109	62	11/15/06 0:00:00	12/31/07 0:00:00			11/12/10 0:00:00	15	"Energy Inspectors"	0	""	" "
"CEN01"	"CENPRE1"	"The Preserve at Cibola Vista"	1	"Cibola Vista"	"Lake Pleasant Pkwy & Cibola Vista Road"	"Peoria"	"85353"	49	35	1/1/08 0:00:00	1/1/10 0:00:00				0		0
"CEN01"	"CENREF"	"INACTIVE-Oasis at Canyon Trails - Reflection"	0		"Cotton Lane & Van Buren Street"	"Goodyear"	"85338"	243	60	11/15/06 0:00:00	12/31/07 0:00:00				0	"Energy Inspectors"	0
"CEN01"	"CENREF1"	"INACTIVE-Oasis at Canyon Trails - Reflection"	0		"Cotton Lane & Van Buren Street"	"Goodyear"	"85338"	96	38	1/1/08 0:00:00	1/1/10 0:00:00				0		0
"PUL02"	"CENREF2"	"INACTIVE-Reflection"	0		"Cotton Ln & Van Buren"	"Goodyear"	"85338"	26	0	1/1/10 0:00:00	12/31/11 0:00:00				0	"EFL"	0	"NA"	" "
"CEN01"	"CENSER"	"INACTIVE-Serenade at Desert Oasis"	0	"Desert Oasis"	"163 Avenue and Jomax"	"Goodyear"		768	56	11/15/06 0:00:00	12/31/07 0:00:00				0	"Energy Inspectors"	0
