"BldrId"	"SubCode"	"LotNo"	"SiteId"	"SolarReady"	"SolarType"	"LotStatus"	"PlanNo"	"AddrNo"	"AddrDir"	"AddrName"	"AddrSufx"	"LtCity"	"LtState"	"LtZip"	"CkReqDate"	"PdDate"	"AmtPd"	"AmtPd_SR"	"H2OPV_Pd"	"PdDate_SR"	"InitialMeterSet"	"ComplianceDate"	"CkNumb"	"Dev"	"AppendDate"	"LotRecno"	"Comments"
"LEN01"	"LENHOR70"	3253.00	989068288	"N"	"N/A"	"Paid"	"358"	"27311"	"N"	"54"	"Ave"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		1/29/11 0:00:00	10/25/10 0:00:00	32050587	"Stetson Horizon"	3/26/12 0:00:00	31279
"LEN01"	"LENHOR70"	3254.00	991168286	"N"	"N/A"	"Paid"	"358"	"27307"	"N"	"54"	"Ave"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		5/13/11 0:00:00	5/17/11 0:00:00	32050587	"Stetson Horizon"	3/26/12 0:00:00	31280
"LEN01"	"LENHOR70"	3255.00	993068280	"N"	"N/A"	"Paid"	"3570"	"27303"	"N"	"54"	"Ave"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		2/2/11 0:00:00	1/11/11 0:00:00	32050587	"Stetson Horizon"	3/26/12 0:00:00	31281
"LEN01"	"LENHOR70"	9225.00	660008281	"N"	"N/A"	"Paid"	"4510"	"26920"	"N"	"55"	"Dr"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		12/27/10 0:00:00	10/25/10 0:00:00	32050587	"Stetson Horizon"	3/26/12 0:00:00	31282
"LEN01"	"LENHOR70"	9230.00	301897285	"N"	"N/A"	"Paid"	"4510"	"26915"	"N"	"55"	"Dr"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		8/9/11 0:00:00	8/19/11 0:00:00	32050587	"Stetson Horizon"	3/26/12 0:00:00	31283
"LEN01"	"LENHOR70"	9237.00	858697289	"N"	"N/A"	"Paid"	"4510"	"26906"	"N"	"54"	"Ln"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		7/18/11 0:00:00	7/26/11 0:00:00	32050587	"Stetson Horizon"	3/26/12 0:00:00	31284
"LEN01"	"LENHOR70"	9238.00	468697289	"N"	"N/A"	"Paid"	"4510"	"26910"	"N"	"54"	"Ln"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		5/17/11 0:00:00	5/18/11 0:00:00	32050587	"Stetson Horizon"	3/26/12 0:00:00	31285
"LEN01"	"LENHOR70"	9240.00	344697284	"N"	"N/A"	"Paid"	"4510"	"26905"	"N"	"54"	"Ln"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		2/8/11 0:00:00	2/16/11 0:00:00	32050587	"Stetson Horizon"	3/26/12 0:00:00	31286
"LEN01"	"LENHOR70"	9241.00	568697289	"N"	"N/A"	"Paid"	"4510"	"26831"	"N"	"54"	"Ln"	"Phoenix"	"AZ"	"85083"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		11/3/11 0:00:00	11/16/11 0:00:00	32050587	"Stetson Horizon"	3/26/12 0:00:00	31287
"KHOV1"	"KHVVV70"	222.00	687018288	"N"		"Paid"	"71"	"20959"	"W"	"Eastview"	"Way"	"Buckeye"	"AZ"	"85340"	3/26/12 0:00:00	4/5/12 0:00:00	$1000.00		$0.00		12/6/11 0:00:00	2/3/12 0:00:00	32050573	"Vintage at Verrado"	3/26/12 0:00:00	31213
