Site	Street Number	Prefix	Street Name	Suffix	Site Modifier Full	Site Lot Number	Site City	Site State	Site Zip5	Initial Meter Set Date
28478280	5350	E	DEER VALLEY	RD	UNIT 2275		PHOENIX	ARIZONA	85054	7/8/2010 12:00:00 AM
28478285	5350	E	DEER VALLEY	RD	UNIT 2276		PHOENIX	ARIZONA	85054	7/8/2010 12:00:00 AM
28540282	4324	W	GARDEN	DR			GLENDALE	ARIZONA	85304	4/13/2011 12:00:00 AM
28590284	627	W	PALMAIRE	AVE			PHOENIX	ARIZONA	85021	2/22/2010 12:00:00 AM
28624286	1478	N	DESERT WILLOW	ST	LOT 53		CASA GRANDE	ARIZONA	85122	1/27/2011 12:00:00 AM
28749285	2116	S	238	LN		510	BUCKEYE	ARIZONA	85326	8/18/2010 12:00:00 AM
28750282	9848	N	13	PL			PHOENIX	ARIZONA	85020	9/24/2010 12:00:00 AM
28756281	5715	E	27	PL		72	YUMA	ARIZONA	85365	11/30/2010 12:00:00 AM
28761382	3197	W	SONORAN DESERT	DR	SIGNAL		PHOENIX	ARIZONA	85085	4/25/2011 12:00:00 AM
28797288	21320	N	56	ST	UNIT 1152		PHOENIX	ARIZONA	85054	6/28/2010 12:00:00 AM
28799287	486	N	ISMAEL SOLORIO	CT		216	SAN LUIS	ARIZONA	85349	7/28/2012 12:00:00 AM
28801384	716		VALLEY VIEW	DR	LOT 12		PRESCOTT	ARIZONA	86305	5/27/2010 12:00:00 AM
28828288	853	N	HIGHWAY 89		SPC 170		CHINO VALLEY	ARIZONA	86323	2/17/2011 12:00:00 AM
28840385	668		AIRPARK	RD	UNIT 2		COTTONWOOD	ARIZONA	86326	9/22/2011 12:00:00 AM
28841387	17544	W	REDWOOD	LN		6	GOODYEAR	ARIZONA	85338	11/16/2010 12:00:00 AM
28860286	7022	E	MAIN	ST			SCOTTSDALE	ARIZONA	85251	4/29/2011 12:00:00 AM
28862384	540	S	SEVILLE	LN	APT 912		FLAGSTAFF	ARIZONA	86001	8/14/2012 12:00:00 AM
28871389	12986		ROY ROGERS	RD	3348 JSP	2293	PEORIA	ARIZONA	85383	7/28/2012 12:00:00 AM
28932387	20435	N	7	ST	UNIT 2044		PHOENIX	ARIZONA	85024	5/4/2012 12:00:00 AM
28997284	8344	N	180	DR		3	WADDELL	ARIZONA	85355	4/13/2012 12:00:00 AM
29021289	14642	N	25	DR			PHOENIX	ARIZONA	85023	7/15/2010 12:00:00 AM
29056289	39702	N	DAISY MOUNTAIN	DR	IRRIGATN		PHOENIX	ARIZONA	85086	4/27/2011 12:00:00 AM
29060385	26928	N	17	AVE		20	PHOENIX	ARIZONA	85085	8/14/2012 12:00:00 AM
29082383	6571	W	RUSHMORE	WAY	LOT 10		FLORENCE	ARIZONA	85132	7/6/2012 12:00:00 AM
29103282	14110	S	HAMMOCK RANCH	RD			MAYER	ARIZONA	86333	6/28/2011 12:00:00 AM
29150289	850	E	HATCHER	RD	STORE		PHOENIX	ARIZONA	85020	4/16/2012 12:00:00 AM
29159284	23838	W	HARRISON	DR		189	BUCKEYE	ARIZONA	85326	10/15/2010 12:00:00 AM
29191285	16610	N	10	DR		155	PHOENIX	ARIZONA	85023	11/3/2011 12:00:00 AM
29200283	3421	W	SANDRA	TER			PHOENIX	ARIZONA	85053	5/11/2010 12:00:00 AM
29231382	1673	W	LIPINSKI	LN			WICKENBURG	ARIZONA	85390	9/29/2010 12:00:00 AM
29251289	760	W	SARAGOSA	ST		202	CHANDLER	ARIZONA	85225	4/27/2011 12:00:00 AM
29281388	11237	E	TROON MOUNTAIN	DR		182	SCOTTSDALE	ARIZONA	85255	3/29/2011 12:00:00 AM
29289280	368	N	EMMANUEL	AVE		204	SAN LUIS	ARIZONA	85349	3/21/2011 12:00:00 AM
29302389	125	W	40	ST	TEMPY B		YUMA	ARIZONA	85365	6/27/2011 12:00:00 AM
29426286	19228	W	LEWIS	AVE			BUCKEYE	ARIZONA	85396	11/14/2011 12:00:00 AM
29492387	6210	E	INDIAN BEND	RD	TEMPY		PARADISE VALLEY	ARIZONA	85253	6/27/2012 12:00:00 AM
29528281	333	S	225	AVE		2155	BUCKEYE	ARIZONA	85326	1/26/2012 12:00:00 AM
29608286	15825	W	ALVARADO	DR		166	GOODYEAR	ARIZONA	85395	2/15/2011 12:00:00 AM
29611281	4096	N	JAY	CT	PV 3		PRESCOTT VALLEY	ARIZONA	86314	6/10/2011 12:00:00 AM
29651384	255		LIZARD	LN			QUARTZSITE	ARIZONA	85346	12/6/2010 12:00:00 AM
29695288	16282	N	31	AVE		17	PHOENIX	ARIZONA	85053	12/16/2010 12:00:00 AM
29698282	16413	N	91	ST	STE 150		SCOTTSDALE	ARIZONA	85260	1/26/2012 12:00:00 AM
29701383	1258	S	25	PL			PHOENIX	ARIZONA	85034	7/23/2010 12:00:00 AM
29749286	12933	W	CALEB	RD		2115	PEORIA	ARIZONA	85383	10/14/2010 12:00:00 AM
29792288	4140	N	CENTRAL	AVE	APT 3027		PHOENIX	ARIZONA	85012	8/8/2012 12:00:00 AM
29792288	4140	N	CENTRAL	AVE	APT 3027		PHOENIX	ARIZONA	85012	8/7/2012 12:00:00 AM
29851389	250	E	OWENS		APT 1		SHOW LOW	ARIZONA	85901	1/7/2011 12:00:00 AM
29886285	15173	W	ALEXANDRIA	WAY		4011	SURPRISE	ARIZONA	85379	5/7/2012 12:00:00 AM
29912280	7664	E	SOFTWIND	DR		98	SCOTTSDALE	ARIZONA	85255	3/15/2012 12:00:00 AM
29920383	1550	E	CAMPBELL	AVE	HSE 4074	MP6	PHOENIX	ARIZONA	85014	3/25/2010 12:00:00 AM
29942384	850	S	HWY 85				AJO	ARIZONA	85321	3/8/2012 12:00:00 AM
29960286	10215	N	28	DR	STE G		PHOENIX	ARIZONA	85051	7/16/2012 12:00:00 AM
29997288	5606	W	TOMBSTONE	TRL		72	PHOENIX	ARIZONA	85083	3/15/2010 12:00:00 AM
30021388	3604	E	MAYO	BLVD	TRF SIG		PHOENIX	ARIZONA	85050	7/19/2010 12:00:00 AM
30090285	10022	N	19	AVE	00SIGN		PHOENIX	ARIZONA	85021	5/20/2011 12:00:00 AM
30171383	14140	W	MCDOWELL	RD	AT&T		GOODYEAR	ARIZONA	85395	12/23/2011 12:00:00 AM
30171388	1542	N	4	AVE	SPC 105		SAN LUIS	ARIZONA	85349	2/14/2011 12:00:00 AM
30172388	961	E	KENSINGTON	DR	APT 1014		FLAGSTAFF	ARIZONA	86001	8/20/2012 12:00:00 AM
30189289	3846	E	UDALL	LN		235	SAN LUIS	ARIZONA	85349	9/21/2010 12:00:00 AM
30198289	9822	W	MELINDA	LN		1	PEORIA	ARIZONA	85382	1/7/2011 12:00:00 AM
30200286	7404	E	DREYFUS	AVE			SCOTTSDALE	ARIZONA	85260	10/10/2011 12:00:00 AM
30221387	3148	E	MOHAWK	LN	SIGN		PHOENIX	ARIZONA	85050	3/16/2011 12:00:00 AM
30222281	17426	N	HORSESHOE	DR		68	SURPRISE	ARIZONA	85374	1/27/2010 12:00:00 AM
30241380	1746	N	SCHULTZ	ST	CATV		CASA GRANDE	ARIZONA	85122	2/11/2011 12:00:00 AM
30301384	949	E	EASON	AVE			BUCKEYE	ARIZONA	85326	8/2/2010 12:00:00 AM
30371283	24350	N	WHISPERING RIDGE	WAY	LOT 12	12	SCOTTSDALE	ARIZONA	85255	2/28/2012 12:00:00 AM
30417281	16463	W	WILSHIRE	DR		66	GOODYEAR	ARIZONA	85395	5/20/2010 12:00:00 AM
30459286	23846	W	HARRISON	DR		190	BUCKEYE	ARIZONA	85326	3/26/2010 12:00:00 AM
30460281	10018	N	8	ST			PHOENIX	ARIZONA	85020	1/19/2010 12:00:00 AM
30460287	1007	E	CHERYL	DR			PHOENIX	ARIZONA	85020	7/13/2010 12:00:00 AM
30478280	1529	W	OBERLIN	WAY		2	PHOENIX	ARIZONA	85085	1/19/2012 12:00:00 AM
30500383	3683	W	37	PL		89	YUMA	ARIZONA	85365	6/10/2011 12:00:00 AM
30528288	317	S	225	AVE		2156	BUCKEYE	ARIZONA	85326	3/21/2012 12:00:00 AM
30538286	19252	W	OREGON	AVE		164	LITCHFIELD PARK	ARIZONA	85340	8/29/2011 12:00:00 AM
30550282	1933	W	6	ST			YUMA	ARIZONA	85364	9/8/2010 12:00:00 AM
30631281	1602	W	BETTY ELYSE	LN			PHOENIX	ARIZONA	85023	3/15/2011 12:00:00 AM
30662380	1260		GAIL GARDNER	WAY	STE 119		PRESCOTT	ARIZONA	86305	3/27/2012 12:00:00 AM
30668288	16450	W	LILAC	ST		4	GOODYEAR	ARIZONA	85338	2/25/2010 12:00:00 AM
30749288	12941	W	CALEB	RD		2116	PEORIA	ARIZONA	85383	12/10/2010 12:00:00 AM
30772389	13951	W	MEEKER	BLVD			SUN CITY WEST	ARIZONA	85375	7/11/2012 12:00:00 AM
30800287	6832	E	KINGS	AVE			SCOTTSDALE	ARIZONA	85254	2/18/2011 12:00:00 AM
30808286	2342	N	161	AVE		229	GOODYEAR	ARIZONA	85395	8/2/2012 12:00:00 AM
30824281	1476	N	DESERT WILLOW	ST	LOT 54		CASA GRANDE	ARIZONA	85122	1/27/2011 12:00:00 AM
30932385	70691		GRAPE		B		WENDEN	ARIZONA	85357	10/25/2011 12:00:00 AM
30938280	5009	W	BARKO	LN		46	NEW RIVER	ARIZONA	85087	8/20/2010 12:00:00 AM
31121281	14020	N	BLACK CANYON	HWY	APT 1033		PHOENIX	ARIZONA	85053	8/13/2012 12:00:00 AM
31170282	925	W	PEORIA	AVE	APT 39		PHOENIX	ARIZONA	85029	6/6/2012 12:00:00 AM
31201386	10540	S	AVENUE 14E		SPC B		YUMA	ARIZONA	85367	12/22/2010 12:00:00 AM
31261384	21605		BLACK MOUNTAIN	PKWY	IRR PED		PHOENIX	ARIZONA	85050	1/7/2011 12:00:00 AM
31271386	986	W	3	ST	PUMP		YUMA	ARIZONA	85364	3/15/2011 12:00:00 AM
31288286	12608	S	COLINA	AVE		12	YUMA	ARIZONA	85367	9/16/2011 12:00:00 AM
31299282	533	S	TRES ARBOLITOS	TRL			YUMA	ARIZONA	85364	10/5/2010 12:00:00 AM
31312386	133	W	6	ST	UNIT 431		TEMPE	ARIZONA	85281	8/23/2011 12:00:00 AM
31342389	10115	W	PATRICK	LN		30	PEORIA	ARIZONA	85383	6/14/2012 12:00:00 AM
31381285	3345	E	WICKIEUP	LN		145	PHOENIX	ARIZONA	85050	11/30/2010 12:00:00 AM
31387285	1243	S	160	LN		4	GOODYEAR	ARIZONA	85338	2/9/2010 12:00:00 AM
31451286	126	S	LA ARBOLETA	ST		60	GILBERT	ARIZONA	85296	8/17/2012 12:00:00 AM
31482387	12		MAXFIELD		APT A2		BISBEE	ARIZONA	85603	5/22/2012 12:00:00 AM
31498287	5305	E	HALLIHAN	DR		2	CAVE CREEK	ARIZONA	85331	3/30/2010 12:00:00 AM
31560280	17623		FOOTHILLS	DR			SUN CITY	ARIZONA	85373	4/30/2010 12:00:00 AM
31587280	16277	W	YAVAPAI	ST		31	GOODYEAR	ARIZONA	85338	12/6/2010 12:00:00 AM
31650383	1126	W	HIGHWAY 80				DOUGLAS	ARIZONA	85607	2/2/2010 12:00:00 AM
31688282	26128	W	TONTO	LN		5	BUCKEYE	ARIZONA	85396	6/16/2010 12:00:00 AM
31712389	3036		NATALIE	CIR			GLOBE	ARIZONA	85501	8/26/2011 12:00:00 AM
31732381	444		CASA DE CAMPO	DR		188	PRESCOTT	ARIZONA	86301	12/2/2011 12:00:00 AM
31803385	41122	N	ROCKAWAY HILLS	DR			SCOTTSDALE	ARIZONA	85262	8/8/2012 12:00:00 AM
31818282	31972	N	127	LN		30	PEORIA	ARIZONA	85383	10/7/2011 12:00:00 AM
31859281	12975	N	94	PL		1	SCOTTSDALE	ARIZONA	85260	3/29/2012 12:00:00 AM
31860280	3001	N	BLACK CANYON	HWY	OFC		PHOENIX	ARIZONA	85015	9/22/2010 12:00:00 AM
31863280	17013	N	WHITE TANK VISTA			1	SURPRISE	ARIZONA	85374	6/17/2011 12:00:00 AM
31887282	16888	W	HAMMOND	ST		2	GOODYEAR	ARIZONA	85338	6/15/2011 12:00:00 AM
31901289	17425	N	19	AVE	APT 1061		PHOENIX	ARIZONA	85023	7/31/2012 12:00:00 AM
31978283	5350	E	DEER VALLEY	RD	UNIT 3275		PHOENIX	ARIZONA	85054	7/8/2010 12:00:00 AM
31987284	13380	W	VAN BUREN		STE 202		GOODYEAR	ARIZONA	85338	9/30/2010 12:00:00 AM
31994283	2502	W	STRAIGHT ARROW	LN			PHOENIX	ARIZONA	85085	3/17/2011 12:00:00 AM
32006287	3921	W	KINGS	AVE		6	PHOENIX	ARIZONA	85053	7/30/2010 12:00:00 AM
32056286	5456	E	34	ST		108	YUMA	ARIZONA	85365	6/18/2010 12:00:00 AM
32068280	27722	N	58	DR		10	PHOENIX	ARIZONA	85083	4/12/2012 12:00:00 AM
32068285	27726	N	58	DR		11	PHOENIX	ARIZONA	85083	4/23/2012 12:00:00 AM
32071281	24207	N	39	LN		226	GLENDALE	ARIZONA	85310	1/19/2011 12:00:00 AM
32072385	802	E	JACKSON	DR	APT 417		FLAGSTAFF	ARIZONA	86001	8/18/2012 12:00:00 AM
32080381	280		TC DYNAMITE HILL	RD	HSE		TUBA CITY	ARIZONA	86045	1/27/2010 12:00:00 AM
32082382	2402	N	3		APT 1		FLAGSTAFF	ARIZONA	86004	5/16/2012 12:00:00 AM
32161281	11035	N	21	AVE	HSE MTR		PHOENIX	ARIZONA	85029	7/27/2011 12:00:00 AM
32162286	3771	N	JOAN	CT		532	PRESCOTT VALLEY	ARIZONA	86314	6/10/2011 12:00:00 AM
32187289	13665	N	150	LN		9122	SURPRISE	ARIZONA	85379	5/1/2012 12:00:00 AM
32241380	4342	S	2ND	AVE			GRAND CANYON	ARIZONA	86023	9/30/2010 12:00:00 AM
32250282	810	E	HATCHER	RD	APT 8		PHOENIX	ARIZONA	85020	4/7/2011 12:00:00 AM
32320389	1550	E	CAMPBELL	AVE	UNIT 4075	MP7	PHOENIX	ARIZONA	85014	3/18/2010 12:00:00 AM
32417285	3780	N	296	DR		391	BUCKEYE	ARIZONA	85396	12/22/2010 12:00:00 AM
32421387	9299	E	DESERT CAMP	DR	NEWPATH		SCOTTSDALE	ARIZONA	85255	7/27/2010 12:00:00 AM
32614286	751		BABBLING BROOK			42	PRESCOTT	ARIZONA	86303	9/1/2011 12:00:00 AM
32672385	6623	W	GEORGETOWN	WAY	LOT 115		FLORENCE	ARIZONA	85132	7/13/2012 12:00:00 AM
32687283	15044	W	GEORGIA	DR		9013	SURPRISE	ARIZONA	85379	5/16/2012 12:00:00 AM
32722387	4710	N	5	ST	CONC2		PHOENIX	ARIZONA	85012	10/20/2011 12:00:00 AM
32738284	44017	N	50	AVE		58	NEW RIVER	ARIZONA	85087	3/30/2011 12:00:00 AM
32811384	29239	N	129	AVE		1968	PEORIA	ARIZONA	85383	3/28/2012 12:00:00 AM
32852387	29910	N	129	AVE	2925 JSP	2213	PEORIA	ARIZONA	85383	7/17/2012 12:00:00 AM
32907281	34716	N	23	DR		5	PHOENIX	ARIZONA	85086	6/25/2012 12:00:00 AM
32912388	36418	N	MULE TRAIN	RD			CAREFREE	ARIZONA	85377	11/1/2011 12:00:00 AM
32919288	7935	W	PLEASANT OAK	CT	LOT 39		FLORENCE	ARIZONA	85132	8/5/2010 12:00:00 AM
32928287	19558	W	MORNING GLORY	ST		27	BUCKEYE	ARIZONA	85326	4/21/2011 12:00:00 AM
32941287	16012	N	3	DR		62	PHOENIX	ARIZONA	85023	7/1/2010 12:00:00 AM
32981388	2238		STELLAR	DR		141	CHINO VALLEY	ARIZONA	86323	4/9/2012 12:00:00 AM
33030286	110	N	FLORENCE	ST			CASA GRANDE	ARIZONA	85122	7/6/2012 12:00:00 AM
33046286	19920	N	23	AVE	UNIT 2041		PHOENIX	ARIZONA	85027	8/3/2012 12:00:00 AM
33120281	6331	N	10	ST	UNIT 3		PHOENIX	ARIZONA	85014	10/27/2011 12:00:00 AM
33120289	1237	E	ROSE	LN	UNIT 3		PHOENIX	ARIZONA	85014	9/8/2010 12:00:00 AM
33160286	1702	W	GLENROSA	AVE			PHOENIX	ARIZONA	85015	12/5/2011 12:00:00 AM
33242389	43	N	ERICKSON				PARKS	ARIZONA	86018	2/16/2012 12:00:00 AM
33278286	9200	W	UNION HILLS	DR	STE 103		PEORIA	ARIZONA	85382	1/21/2011 12:00:00 AM
33279284	20025	N	20	ST	UNIT 104		PHOENIX	ARIZONA	85024	8/11/2010 12:00:00 AM
33297281	7351	W	PALO BREA	LN		71	PEORIA	ARIZONA	85383	7/12/2012 12:00:00 AM
33300286	724	E	MARLETTE	AVE			PHOENIX	ARIZONA	85014	10/27/2011 12:00:00 AM
33310385	1600		CALIFORNIA	AVE	STE A		PARKER	ARIZONA	85344	3/16/2011 12:00:00 AM
33348283	43904	N	50	LN		16	NEW RIVER	ARIZONA	85087	7/26/2010 12:00:00 AM
33358284	8945	E	SPURR	LN			PRESCOTT VALLEY	ARIZONA	86315	5/16/2011 12:00:00 AM
33359288	23854	W	HARRISON	DR		191	BUCKEYE	ARIZONA	85326	4/23/2010 12:00:00 AM
33412386	10167	N	ENCORE	DR		69	CASA GRANDE	ARIZONA	85122	7/26/2011 12:00:00 AM
33420384	1550	E	CAMPBELL	AVE	HSE 4075	MP7	PHOENIX	ARIZONA	85014	3/18/2010 12:00:00 AM
33462384	14775	N	SCOTTSDALE	RD	TEMPY		SCOTTSDALE	ARIZONA	85254	2/29/2012 12:00:00 AM
33568285	16436	W	LILAC	ST		5	GOODYEAR	ARIZONA	85338	3/9/2010 12:00:00 AM
33627288	11681	E	36	ST		113	YUMA	ARIZONA	85367	6/21/2012 12:00:00 AM
33651282	250	S	ELIZABETH	WAY	UNIT 2112	2112	CHANDLER	ARIZONA	85225	8/6/2012 12:00:00 AM
33656282	7232	E	ECLIPSE	DR		48	SCOTTSDALE	ARIZONA	85266	2/21/2012 12:00:00 AM
33702280	1818	W	PARSONS	RD	WELL		PHOENIX	ARIZONA	85085	2/18/2011 12:00:00 AM
33720286	1105	E	ORANGEWOOD	AVE			PHOENIX	ARIZONA	85020	8/31/2011 12:00:00 AM
33736287	39652	N	DAISY MOUNTAIN	DR	BRIDGE		PHOENIX	ARIZONA	85086	7/17/2012 12:00:00 AM
33736287	39652	N	DAISY MOUNTAIN	DR	BRIDGE		PHOENIX	ARIZONA	85086	4/27/2011 12:00:00 AM
33760387	12926	W	KATHARINE	WAY		1995	PEORIA	ARIZONA	85383	12/2/2010 12:00:00 AM
33857282	7161	W	MILTON	DR		91	PEORIA	ARIZONA	85383	7/16/2010 12:00:00 AM
33876286	9012	W	YELLOW BIRD	LN		48	PEORIA	ARIZONA	85383	5/5/2010 12:00:00 AM
33900285	5013	W	WALTANN	LN			GLENDALE	ARIZONA	85306	1/15/2010 12:00:00 AM
33908285	21074	W	WYCLIFF	CT		602	BUCKEYE	ARIZONA	85396	4/4/2011 12:00:00 AM
33978288	304	W	HERRO	LN		1	PHOENIX	ARIZONA	85013	1/24/2011 12:00:00 AM
34008283	7976	E	37	ST		18	YUMA	ARIZONA	85365	3/10/2011 12:00:00 AM
34031282	1801	E	LARKSPUR	DR			PHOENIX	ARIZONA	85022	11/23/2011 12:00:00 AM
34071386	7198	E	JOMAX	RD			SCOTTSDALE	ARIZONA	85266	4/1/2011 12:00:00 AM
34079280	1100	E	LEMON	ST	UNIT 103		TEMPE	ARIZONA	85281	7/14/2010 12:00:00 AM
34081386	603	S	LAKEVIEW			18	PRESCOTT	ARIZONA	86301	10/20/2011 12:00:00 AM
34100289	9644	E	MISSION	LN			SCOTTSDALE	ARIZONA	85258	10/24/2011 12:00:00 AM
34227283	7783	W	LONE CACTUS	DR		29	PEORIA	ARIZONA	85382	4/30/2010 12:00:00 AM
34232389	824		3	ST			DOUGLAS	ARIZONA	85607	10/13/2011 12:00:00 AM
34250289	12201	N	THUNDERBIRD	RD			SUN CITY	ARIZONA	85351	4/13/2010 12:00:00 AM
34298282	27404	N	19	DR		1	PHOENIX	ARIZONA	85085	6/25/2012 12:00:00 AM
34301388	1343-B		BACAVI      3M		HSE		HOTEVILLA	ARIZONA	86030	6/4/2010 12:00:00 AM
34331383	23919	N	23	PL			PHOENIX	ARIZONA	85024	12/13/2010 12:00:00 AM
34369282	5332	E	BARWICK	DR		253	CAVE CREEK	ARIZONA	85331	6/21/2011 12:00:00 AM
34370389	4550	E	CACTUS	RD	STE 168		PHOENIX	ARIZONA	85032	2/12/2010 12:00:00 AM
34390281	921	S	MONTEZUMA	ST			PHOENIX	ARIZONA	85003	4/5/2012 12:00:00 AM
34537287	16651	W	MESQUITE	ST		20	GOODYEAR	ARIZONA	85338	6/5/2012 12:00:00 AM
34538281	5237	N	191	DR		180	LITCHFIELD PARK	ARIZONA	85340	7/14/2010 12:00:00 AM
34540285	4013	W	CHOLLA	ST			PHOENIX	ARIZONA	85029	1/22/2010 12:00:00 AM
34541286	4410	N	LONGVIEW	AVE	UNIT 121		PHOENIX	ARIZONA	85014	10/18/2010 12:00:00 AM
34562387	615	E	WEBER	DR	UNIT 1039		TEMPE	ARIZONA	85281	4/26/2012 12:00:00 AM
34601384	668		TC SOUTH WEST		TRLR D		TUBA CITY	ARIZONA	86045	9/27/2010 12:00:00 AM
34677284	9365	W	ALYSSA	LN		4	PEORIA	ARIZONA	85383	3/2/2012 12:00:00 AM
34702382	133	W	6	ST	UNIT 530		TEMPE	ARIZONA	85281	8/23/2011 12:00:00 AM
34719281	17550	N	75	AVE	STE 540 C		GLENDALE	ARIZONA	85308	3/16/2010 12:00:00 AM
34780387	1502	W	MCDOWELL	RD	STE 2		PHOENIX	ARIZONA	85007	3/1/2010 12:00:00 AM
34821285	1732	W	YEARLING	RD			PHOENIX	ARIZONA	85085	2/18/2011 12:00:00 AM
34835287	6901	E	CHAUNCEY	LN	UNIT 2057		PHOENIX	ARIZONA	85054	7/31/2012 12:00:00 AM
34887285	13342	W	JESSE RED	DR		10	PEORIA	ARIZONA	85383	6/15/2012 12:00:00 AM
34889280	2333	E	BERMUDEZ	ST		216	SAN LUIS	ARIZONA	85349	1/19/2012 12:00:00 AM
34934285	15802	N	CAVE CREEK	RD	STE 3B		PHOENIX	ARIZONA	85032	4/1/2011 12:00:00 AM
34987288	7341	W	MILTON	DR		44	PEORIA	ARIZONA	85383	5/10/2012 12:00:00 AM
35000381	13420	N	AUTOSHOW	AVE	MONUMENT		SURPRISE	ARIZONA	85388	3/9/2011 12:00:00 AM
35002382	105		FIRST MAN		UNIT A		CAMP VERDE	ARIZONA	86322	1/10/2012 12:00:00 AM
35011381	13553	E	GOLD DUST	AVE			SCOTTSDALE	ARIZONA	85259	11/14/2011 12:00:00 AM
35069280	1521	E	2	ST			WINSLOW	ARIZONA	86047	12/20/2010 12:00:00 AM
35097286	18524	W	MONTEBELLO	AVE		264	LITCHFIELD PARK	ARIZONA	85340	3/16/2012 12:00:00 AM
35110387	6567	E	34	ST		51	YUMA	ARIZONA	85365	6/23/2011 12:00:00 AM
35136282	7599	N	OUTLOOK	LN		652	PRESCOTT VALLEY	ARIZONA	86315	6/7/2011 12:00:00 AM
35151280	4201	W	UNION HILLS	DR	APT 2042	2042	GLENDALE	ARIZONA	85308	7/26/2012 12:00:00 AM
35159282	21412	N	262	LN		168	BUCKEYE	ARIZONA	85396	3/26/2012 12:00:00 AM
35237281	12130	W	PATRICK	LN		85	SUN CITY	ARIZONA	85373	3/12/2012 12:00:00 AM
35277286	17873	W	VALENTINE	ST		676	SURPRISE	ARIZONA	85388	4/3/2012 12:00:00 AM
35331381	732		HOTEVILLA 3M		TEMPY		HOTEVILLA	ARIZONA	86030	8/20/2010 12:00:00 AM
35338280	19313	W	OREGON	AVE		41	LITCHFIELD PARK	ARIZONA	85340	8/17/2011 12:00:00 AM
35338286	3825	W	ANTHEM	WAY	HSE		PHOENIX	ARIZONA	85086	8/13/2012 12:00:00 AM
35338286	3825	W	ANTHEM	WAY	HSE		PHOENIX	ARIZONA	85086	1/11/2011 12:00:00 AM
35360283	10432	N	7	PL	UNIT 1		PHOENIX	ARIZONA	85020	12/5/2011 12:00:00 AM
35369282	1100	E	LEMON	ST	UNIT 104		TEMPE	ARIZONA	85281	7/14/2010 12:00:00 AM
35379287	20025	N	20	ST	UNIT 105		PHOENIX	ARIZONA	85024	8/11/2010 12:00:00 AM
35461383	14551	W	GRAND	AVE	LANDSCAP		SURPRISE	ARIZONA	85374	12/29/2010 12:00:00 AM
35607283	1302	E	MORTEN	AVE			PHOENIX	ARIZONA	85020	1/30/2012 12:00:00 AM
35624284	1588	E	EARL	DR		111	CASA GRANDE	ARIZONA	85122	9/24/2010 12:00:00 AM
35661289	3470	E	MORENO	LN		100	YUMA	ARIZONA	85365	6/18/2010 12:00:00 AM
35661385	224	S	MAIN	ST	SHP		ELOY	ARIZONA	85131	3/1/2011 12:00:00 AM
35698289	27408	N	19	DR		2	PHOENIX	ARIZONA	85085	4/11/2012 12:00:00 AM
35761385	14		DOUGLAS	RD	A		BISBEE	ARIZONA	85603	4/19/2011 12:00:00 AM
35776281	2419	W	BAJADA	RD		95	PHOENIX	ARIZONA	85085	6/21/2010 12:00:00 AM
35810382	1550	E	CAMPBELL	AVE	UNIT 4076	MP7	PHOENIX	ARIZONA	85014	3/18/2010 12:00:00 AM
35821280	909	E	24	PL			YUMA	ARIZONA	85365	9/16/2010 12:00:00 AM
35868281	8088		SONOMA	WAY	LOT 26		FLORENCE	ARIZONA	85132	7/5/2011 12:00:00 AM
35871385	5080	E	BOULDER CANYON	DR		10	CORNVILLE	ARIZONA	86325	4/25/2011 12:00:00 AM
35881281	1364	E	VICTOR HUGO	AVE		48	PHOENIX	ARIZONA	85022	8/16/2010 12:00:00 AM
35905285	1415	E	SHANGRI LA				PHOENIX	ARIZONA	85020	3/6/2012 12:00:00 AM
35929283	20401	N	269	DR		7	BUCKEYE	ARIZONA	85396	12/23/2010 12:00:00 AM
35986283	20501	W	HAMILTON	ST		408	BUCKEYE	ARIZONA	85396	6/27/2011 12:00:00 AM
36038280	3734	E	CAT BALUE	DR		33	PHOENIX	ARIZONA	85050	11/9/2011 12:00:00 AM
36041288	4744	W	MARCO POLO	RD		497	GLENDALE	ARIZONA	85308	8/14/2012 12:00:00 AM
36041288	4744	W	MARCO POLO	RD		497	GLENDALE	ARIZONA	85308	2/16/2011 12:00:00 AM
36132387	4570	N	CENTRAL	AVE	APT 101		PHOENIX	ARIZONA	85012	11/18/2011 12:00:00 AM
36140289	1921	E	LANE	AVE			PHOENIX	ARIZONA	85020	1/20/2011 12:00:00 AM
36141382	17140	S	175	DR		7	GOODYEAR	ARIZONA	85338	11/2/2010 12:00:00 AM
36145287	10550	N	POQUITO VALLEY	RD			PRESCOTT VALLEY	ARIZONA	86315	6/8/2011 12:00:00 AM
36150288	1222	E	TOWNLEY	AVE			PHOENIX	ARIZONA	85020	4/28/2010 12:00:00 AM
36203385	1934	W	9	ST			YUMA	ARIZONA	85364	7/24/2012 12:00:00 AM
36212287	7240	N	DREAMY DRAW	DR	UNIT 115	15	PHOENIX	ARIZONA	85020	10/28/2011 12:00:00 AM
36222381	319		REGENT	ST	STE E-203		FLAGSTAFF	ARIZONA	86001	8/25/2011 12:00:00 AM
36230380	1731	W	DESPERADO	WAY		2	PHOENIX	ARIZONA	85085	5/17/2011 12:00:00 AM
36263289	2433	W	TURTLE HILL	DR		57	PHOENIX	ARIZONA	85086	10/13/2010 12:00:00 AM
36282385	306	W	PAPAGO	ST			PHOENIX	ARIZONA	85003	8/1/2012 12:00:00 AM
