Site	Street Number	Prefix	Street Name	Suffix	Site Modifier Full	Site Lot Number	Site City	Site State	Site Zip5	Initial Meter Set Date
2418288	31467	N	133	DR		30	PEORIA	ARIZONA	85383	6/21/2010 12:00:00 AM
2470381	882	E	DEL RIO	ST		64	CHANDLER	ARIZONA	85225	9/9/2011 12:00:00 AM
2474281	19953	N	JENNINGS	WAY	2840 JSP	51	SURPRISE	ARIZONA	85374	8/27/2012 12:00:00 AM
2510384	6465	W	STONY QUAIL	WAY	LOT 91		FLORENCE	ARIZONA	85132	2/5/2010 12:00:00 AM
2566286	9328	W	TROY	DR	UNIT 1	28	ARIZONA CITY	ARIZONA	85123	10/20/2011 12:00:00 AM
2571282	12606	E	PARADISE	DR		259	SCOTTSDALE	ARIZONA	85259	11/29/2011 12:00:00 AM
2630389	3679		PRESIDENTIAL	WAY	LOT 3		FLORENCE	ARIZONA	85132	7/15/2010 12:00:00 AM
2730288	14418		MCPHEE	DR			SUN CITY	ARIZONA	85351	5/11/2010 12:00:00 AM
2897286	17017	W	RIO VISTA	LN		2	GOODYEAR	ARIZONA	85338	4/15/2010 12:00:00 AM
2921385	7608	W	PATRIOT	WAY	LOT 14		FLORENCE	ARIZONA	85132	9/14/2010 12:00:00 AM
2921387	3609	W	HUDSON	DR	LOT 6		FLORENCE	ARIZONA	85132	9/21/2010 12:00:00 AM
2932381	20435	N	7	ST	CLUBHSE		PHOENIX	ARIZONA	85024	2/3/2012 12:00:00 AM
3003389	1553		TAYLOR	AVE	APT		CHINO VALLEY	ARIZONA	86323	8/6/2012 12:00:00 AM
3042388	20435	N	7	ST	UNIT 2097		PHOENIX	ARIZONA	85024	6/25/2012 12:00:00 AM
3060382	12912	W	KATHARINE	WAY		1993	PEORIA	ARIZONA	85383	8/13/2010 12:00:00 AM
3072385	803	E	KENSINGTON	DR	APT 646		FLAGSTAFF	ARIZONA	86001	8/21/2012 12:00:00 AM
3092389	27159	W	BEHREND	DR		11	BUCKEYE	ARIZONA	85396	8/16/2012 12:00:00 AM
3097285	7385	W	PALO BREA	LN		74	PEORIA	ARIZONA	85383	12/1/2010 12:00:00 AM
3121288	2362	W	BETTY ELYSE	LN			PHOENIX	ARIZONA	85023	4/29/2010 12:00:00 AM
3135281	4420	W	BRAIDED REIN			2	FLAGSTAFF	ARIZONA	86001	4/4/2011 12:00:00 AM
3138281	3714	E	ZACHARY	DR		8	PHOENIX	ARIZONA	85050	12/8/2010 12:00:00 AM
3140285	1314	E	VISTA	AVE	APT D		PHOENIX	ARIZONA	85020	4/7/2010 12:00:00 AM
3150287	8502	N	8	ST			PHOENIX	ARIZONA	85020	6/15/2010 12:00:00 AM
3184284	15600	N	FRANK LLOYD WRIGHT	BLVD	UNIT 1161		SCOTTSDALE	ARIZONA	85260	8/14/2012 12:00:00 AM
13581381	9830	E	RUNNING DEER	TRL			SCOTTSDALE	ARIZONA	85262	8/19/2011 12:00:00 AM
28262389	5751	W	ARROWHEAD LAKES	DR	PUMP		GLENDALE	ARIZONA	85308	5/24/2012 12:00:00 AM
48090388	18A		GC ROWELL (HOUSE PANEL)	RD			GRAND CANYON	ARIZONA	86023	8/3/2010 12:00:00 AM
73221288	10701	N	99	AVE	TRLR 105		PEORIA	ARIZONA	85345	3/4/2011 12:00:00 AM
87181388			MP 912.58				CASA GRANDE	ARIZONA	85193	5/11/2011 12:00:00 AM
