Brand Name,Outdoor Model Number,Indoor Model Number,"Capacity 17F (kBtuh)","Capacity 47F (kBtuh)",HSPF,"Cooling Capacity (kBtuh)",SEER,Motor HP,Ventilation Fan Watts
Day & Night,NXH530GKA*,FXM4X30**AL,17,28.2,8.5,28.4,15,-,-
Energi Air,GSZC180601C*,AVPTC61D14B*,37,59,9.5,56,17,-,-
Franklin,GSZC180601C*,AVPTC61D14B*,37,59,9.5,56,17,-,-
Fraser-Johnston,TH16B3621,CF/CM36B+ME12BN21+TXV,22.2,35,9.5,34,16.25,-,-
Fujitsu,AOU12RLS3,ASU12RLS3Y,9.6,16,14,12,29.3,-,-
Fujitsu,AOU12RLS3H,ASU12RLS3Y,9.6,16,13.8,12,29.3,-,-
Fujitsu,AOU15RLS3,ASU15RLS3,11.2,18,13.4,14.5,25.3,-,-
Fujitsu,AOU15RLS3,ASU15RLS3Y,11.2,18,13.4,14.5,25.3,-,-
Fujitsu,AOU15RLS3H,ASU15RLS3,11.2,18,13.3,14.5,25.3,-,-
Fujitsu,AOU15RLS3H,ASU15RLS3Y,11.2,18,13.3,14.5,25.3,-,-
Fujitsu,AOU18RLFC,ARU18RLF,13.6,21.6,11.3,18,19.7,-,-
Fujitsu,AOU18RLFC,AUU18RLF,13.6,21.6,11.5,18,20.1,-,-
Fujitsu,AOU18RLXFZH,Ducted Indoor Units,14.2,22,9,18,19,-,-
Fujitsu,AOU18RLXFZH,Mixed Ducted and Non-Ducted Indoor Units,14.2,22,9.65,18,20.25,-,-
Fujitsu,AOU18RLXFZH,Non-Ducted Indoor Units,14.2,22,10.3,18,21.5,-,-
Fujitsu,AOU36RLXFZH,Ducted,21.4,36.4,9.3,35.2,18,-,-
Fujitsu,AOU36RLXFZH,Mixed Ducted & Non-Ducted,21.4,36.4,9.8,35.2,19,-,-
Fujitsu,AOU36RLXFZH,Non-Ducted,21.4,36.4,10.3,35.2,20,-,-
Fujitsu,AOU9RLFC,AUU9RLF,7.1,12,13,9,24,-,-
Fujitsu,AOU9RLS3,ASU9RLS3,7,12,14.2,9,33,-,-
Fujitsu,AOU9RLS3,ASU9RLS3Y,7,12,14.2,9,33,-,-
